H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias
584.09,0.004377204,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.019,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.004377204,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001124294,0.000862967,-0.122922875,0.000263857,0.000233839,0.000283111,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.02,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.023,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.023,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.023,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.023,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.023,-0.01,0.01,0,945.038208,584.09
584.09,0.006166238,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.023,-0.01,0.01,0,945.038208,584.09
584.09,0.007098663,1496,1900,1498,0.022061704,0.001126289,0.000860074,-0.122913808,0.000348495,0.00033937,0.000277011,0,0,-1.001,0.023,-0.01,0.01,0,945.038208,584.09
