H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro,H_GPS_bias,VH_GPS_bias
584.09,-0.013086679,1504,1900,1502,0.022061704,-0.001155684,-0.001401364,-0.133895829,-0.000102833,-0.000205284,-0.00077045,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.013086679
584.09,-0.013086679,1504,1900,1502,0.022061704,-0.001154153,-0.001402399,-0.133922964,-0.000197821,-0.000281924,-0.000700203,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.013086679
584.09,-0.01225291,1504,1900,1502,0.022061704,-0.001154153,-0.001402399,-0.133922964,-0.000197821,-0.000281924,-0.000700203,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.01225291
584.09,-0.01225291,1504,1900,1502,0.022061704,-0.001154153,-0.001402399,-0.133922964,-0.000197821,-0.000281924,-0.000700203,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.01225291
584.09,-0.01225291,1504,1900,1502,0.022061704,-0.001154153,-0.001402399,-0.133922964,-0.000197821,-0.000281924,-0.000700203,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.01225291
584.09,-0.01225291,1504,1900,1502,0.022061704,-0.001154153,-0.001402399,-0.133922964,-0.000197821,-0.000281924,-0.000700203,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.01225291
584.09,-0.01225291,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.01225291
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.079,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.0276489,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001155088,-0.001410524,-0.133946419,-0.000253994,-0.000334916,-0.00064083,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012278843,1504,1900,1502,0.022061704,-0.001149368,-0.001408406,-0.133976758,-0.00029598,-0.000293989,-0.000725958,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012278843
584.09,-0.012094,1504,1900,1502,0.022061704,-0.001149368,-0.001408406,-0.133976758,-0.00029598,-0.000293989,-0.000725958,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012094
584.09,-0.012094,1504,1900,1502,0.022061704,-0.001149368,-0.001408406,-0.133976758,-0.00029598,-0.000293989,-0.000725958,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012094
584.09,-0.012094,1504,1900,1502,0.022061704,-0.001149368,-0.001408406,-0.133976758,-0.00029598,-0.000293989,-0.000725958,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012094
584.09,-0.012094,1504,1900,1502,0.022061704,-0.001149368,-0.001408406,-0.133976758,-0.00029598,-0.000293989,-0.000725958,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012094
584.09,-0.012094,1504,1900,1502,0.022061704,-0.001149368,-0.001408406,-0.133976758,-0.00029598,-0.000293989,-0.000725958,0,0,-1.001,-0.084,0.01,-0.02,0.01,945.020752,584.09,-0.012094
