H_GPS,VH_GPS,Aileron,Elevator,Rudder,IAS,Roll,Pitch,Yaw,p,q,r,a_x,a_y,a_z,H_IMU,VE_IMU,VN_IMU,VU_IMU,H_baro
580.9,-0.043318997,1488.573356,1903.117023,1495.55746,6.802099843,0.001311687,0.035719582,-0.111877644,-0.002786892,-0.00219828,-0.004865847,0.017720928,-0.000655636,-0.99711547,-1.012190424,5.689738362,-0.822763544,0.627368905,945.6667334
580.9,-0.248468988,1493.240887,1898.702516,1498.329707,6.323243848,-0.000204597,0.027548367,-0.075962055,-0.011196489,0.016846886,-0.000927898,0.022436319,-0.000475954,-1.014099143,-0.708222065,6.106034259,-0.220490309,-0.100305831,945.7782766
580.9,0.434642581,1494.359019,1904.408139,1495.42456,6.525530032,-0.000350797,0.018805378,-0.136352734,0.010892096,0.003856862,-0.002171276,0.022803133,0.000397692,-1.01894313,-1.442809619,6.654603204,0.625359727,-0.009230222,945.4976986
580.9,0.258195208,1495.505503,1902.68523,1497.702057,6.363090781,0.028008188,0.022250081,-0.137676252,-0.009340296,0.001533271,-0.001547843,0.015721494,0.001279337,-0.965665488,-1.653022038,6.931765002,-1.291978484,-0.431966113,945.654052
580.9,-0.460698389,1490.931454,1898.860975,1495.759005,6.11690396,0.000210442,0.020200494,-0.001556471,-0.051285782,0.003570492,-0.008176948,0.027098573,0.000276117,-0.981934161,1.206374785,7.157208411,0.018946173,0.436472845,945.0979646
580.9,-0.131730799,1492.654056,1896.228105,1497.471916,6.224203299,0.016499894,0.014680014,-0.085875993,-0.003412691,-0.004566041,-0.001840941,0.01808414,0.002419228,-1.002914236,-0.706361835,7.399729335,-1.167393934,-0.133197797,945.581582
580.9,0.097138162,1497.227298,1896.398025,1498.895511,6.055920103,5.00E-05,0.016452727,-0.200400315,-0.020286465,0.003164544,0.004708518,0.013510783,0.002594292,-1.026014958,0.772776868,7.266424284,-0.59846561,-0.027504141,945.3030616
580.9,-0.037064034,1497.697494,1893.341029,1495.710132,6.467841708,0.010185925,0.022280284,-0.184999345,-0.024491662,0.002311598,0.000267774,0.018319562,-0.000549687,-0.995822785,2.620823337,7.325835913,-0.869874658,0.092222523,945.5556731
580.9,0.078822343,1486.742079,1897.593496,1494.707493,6.735123707,0.001026548,0.018333982,-0.002755237,0.004484973,0.005480895,-0.003731461,0.023294962,0.000649265,-0.999938171,-0.763451404,6.897251972,-1.266154285,0.076605338,945.7281202
580.9,-0.035715322,1492.29346,1890.861937,1495.506208,6.471378767,0.005653009,0.016120358,-0.084009269,0.024010247,-0.008438832,-0.008214004,0.034593939,-0.002284466,-0.98427838,-2.16915757,8.199583157,-0.455635216,0.303302279,945.704817
580.9,-0.168312729,1489.463083,1900.691523,1495.506115,6.212773855,0.003851787,0.010927895,-0.108211032,0.006422228,0.005612021,-0.002483145,0.021842211,-0.000534623,-0.977358053,-2.211578243,6.178847503,-1.254428001,0.017318317,945.4374713
580.9,-0.41598112,1495.100245,1892.201498,1494.940653,6.246085313,0.019331588,0.021033947,-0.024908094,-0.018349683,0.005000644,0.002437527,0.023778573,0.000838914,-1.027804681,0.380882201,7.460551981,0.223271887,0.424187417,945.2186005
580.9,0.163987741,1494.31022,1901.768077,1494.253109,5.978316576,0.004946036,0.020297885,-0.036498442,0.002246632,0.0045248,0.003982996,0.037102074,-0.001279257,-0.990199306,0.07183536,6.38235237,-1.285126899,0.287409838,945.1197771
580.9,0.016999378,1492.263565,1902.41751,1498.115933,6.295685185,-0.004563526,0.017853754,-0.129471845,0.009220162,-0.001067373,0.005585402,0.031906172,-0.000849474,-1.002031922,0.556300699,5.591788663,-0.424301537,0.15778001,945.3199474
580.9,-0.132435456,1486.900594,1901.295779,1496.348291,6.176494368,0.015838128,0.0230655,-0.151431562,0.001061632,0.005592985,0.003446948,0.030310139,-0.001838645,-0.983912687,-2.021328444,5.764507939,-1.093022023,0.169329523,945.6208213
580.9,-0.48709674,1493.211715,1896.085655,1496.824958,5.687785926,-0.045787846,0.011671556,-0.192953391,0.025461023,0.007017656,-0.002395274,0.013135269,0.001134942,-1.004719037,3.516951032,6.631518778,-0.395568218,0.358978154,945.4521033
580.9,-0.711405146,1492.040268,1905.748398,1495.054882,6.41722336,0.044029996,0.015419546,-0.195521269,-0.02919714,-0.000358569,-0.00305933,0.023926502,0.003784252,-1.010210014,-1.11914571,5.877108799,-0.951324,0.17249077,945.4254793
580.9,0.104152687,1492.985606,1903.551811,1497.579471,6.297190177,0.002922402,0.025579348,-0.01858136,0.025216783,-0.006640716,0.007715088,0.010485891,0.002302191,-1.028509797,-1.425500984,7.68043302,-0.597133751,-0.111343127,945.3427077
580.9,-0.254065839,1492.863778,1895.786377,1499.043624,6.422870649,-0.000497332,0.024315482,-0.082711924,0.016845526,0.007000525,0.005876767,0.010511676,0.000851857,-0.982562452,-0.190890865,5.919536306,0.228245435,0.026911346,945.3838073
580.9,-0.091734277,1494.165298,1894.592921,1496.825666,6.539525397,-0.011928497,0.02733294,-0.062679251,-0.000243651,0.002496144,0.00430675,0.010118342,-0.000406203,-1.011825862,0.616939467,5.42445833,-1.234836782,-0.003732923,945.608866
580.9,-0.143914314,1497.642543,1905.085504,1498.39657,6.621826581,0.037577878,0.03125486,-0.118723442,0.005595161,0.00170388,-0.000650824,0.022387429,0.000725763,-0.988561667,0.273176156,5.740492344,-0.011273122,0.111468809,945.6590518
580.9,0.018110701,1493.118548,1904.331995,1496.521384,5.715476517,-0.008169103,0.014611548,-0.031484548,-0.00749271,-0.002211388,-0.000583419,0.016206638,0.000478169,-1.002691565,0.84454453,6.694683692,-0.918527101,-0.061640209,945.2093628
580.9,0.430902405,1493.196231,1902.438145,1496.461425,6.647181274,0.053906284,0.021984881,-0.116782507,-0.003862976,-0.00217477,0.003815818,0.021325198,-0.001001434,-1.021121419,-0.51760287,6.923869888,-0.573346534,0.279316213,945.3944907
580.9,-0.023183571,1493.898297,1896.953251,1492.935114,5.963519495,-0.004343427,0.013154684,-0.018614295,-0.018221812,0.005902984,0.00869305,0.018506287,-0.00117031,-0.994994135,2.138150371,6.323438551,-1.17115666,0.472448299,945.2345151
580.9,0.055842052,1493.764015,1895.685714,1497.913873,6.166425548,-0.000859419,0.02074755,-0.164142646,0.011888546,0.005102418,0.000834584,0.016995307,-0.002781959,-1.008699061,0.706419248,7.071391843,-1.183950652,-0.086329508,945.4065014
580.9,-0.342943302,1488.827648,1899.185228,1496.157925,5.996644286,-0.021718437,0.029750624,-0.197716105,-0.001483062,0.005228531,-0.009745636,0.020290045,0.001346087,-1.012845555,-0.615526786,6.851876895,-0.31514492,0.292242147,945.613988
580.89,-0.34841138,1493.328705,1901.497221,1496.309414,6.294717544,0.008494098,0.027032822,-0.052808905,0.003649969,-0.00111745,0.011567915,0.00590095,0.000483011,-1.035575189,-0.771807739,6.871455369,-0.104780546,-0.367434867,945.4392039
580.89,-0.281819803,1493.472207,1902.540394,1495.909734,6.019147533,-0.024944903,0.021858892,-0.12519466,0.009866291,0.005553074,0.011121975,0.032218152,-0.000197647,-0.993605717,-0.974460269,7.781815242,-1.993413964,0.141405247,945.5399861
580.89,0.073832526,1495.994615,1900.561885,1495.137561,6.719963278,0.03224068,0.016931369,-0.242384496,-0.012916664,0.009721149,-0.011703888,0.02107076,0.000259563,-1.003636877,-1.047285049,6.239858191,-1.33590813,-0.495617274,945.3500414
580.89,-0.204114129,1495.746844,1900.665319,1496.934676,6.14442395,-0.015722954,0.02145502,-0.091824549,-0.00173611,0.014397173,0.00225868,0.021370213,-0.001066563,-1.024910354,1.992417301,6.423015033,-0.237372784,0.161331669,945.4214383
580.89,0.098943443,1492.78614,1900.203809,1496.471375,6.185922617,0.033291329,0.025773498,-0.127551843,-0.025255537,0.001076783,-0.004485302,0.024707426,-0.000684933,-1.012657837,-1.670929695,7.314284192,-1.261935302,-0.086002208,945.1374327
580.89,-0.213565739,1494.634932,1898.178995,1495.105719,6.208411827,0.003461639,0.015796481,-0.221933788,-0.005436526,-0.007295307,0.007617661,0.030209368,0.000705119,-1.003405002,-0.018640892,6.227501831,-0.358997022,0.378795606,945.3559233
580.89,-0.117375815,1495.237711,1903.223623,1494.703114,5.972026209,-0.030678582,0.024409823,-0.074517903,0.007183511,-0.002470085,-0.00231064,0.023498126,-0.001313836,-0.991334675,0.104895713,5.86088896,-1.281563008,0.347883018,945.5163313
